100.00	47.26
106.00	48.40
112.00	49.11
118.00	49.66
125.00	50.28
132.00	50.80
140.00	51.14
150.00	51.77
160.00	52.12
170.00	52.66
180.00	53.14
190.00	53.64
200.00	54.10
212.00	54.63
224.00	54.83
236.00	55.12
250.00	55.37
265.00	55.88
280.00	56.09
300.00	56.68
315.00	57.08
335.00	57.42
355.00	58.08
375.00	58.37
400.00	58.57
425.00	58.61
450.00	59.20
475.00	59.42
500.00	59.60
530.00	59.60
560.00	59.95
600.00	60.02
630.00	60.01
670.00	60.34
710.00	61.22
750.00	61.61
800.00	62.34
850.00	63.62
900.00	65.70
950.00	66.60
1000.00	67.51
1060.00	68.29
1120.00	67.09
1180.00	67.36
1250.00	66.21
1320.00	66.22
1400.00	66.34
1500.00	65.38
1600.00	64.61
1700.00	64.88
1800.00	64.74
1900.00	66.56
2000.00	67.72
2120.00	71.39
2240.00	73.60
2360.00	73.95
2500.00	71.80
2650.00	68.49
2800.00	66.59
3000.00	65.68
3150.00	66.86
3350.00	67.65
3550.00	69.69
3750.00	69.83
4000.00	63.85
4250.00	61.92
4500.00	63.62
4750.00	66.30
5000.00	61.25
5300.00	58.16
5600.00	57.09
6000.00	63.26
6300.00	56.80
6700.00	49.90
7100.00	42.26
7500.00	-16.48
8000.00	-30.40
8500.00	-33.80
9000.00	-41.52
9500.00	-42.99
10000.00	-39.74
