100.00	-69.85
106.00	-65.67
112.00	-60.49
118.00	-77.00
125.00	-56.87
132.00	-59.42
140.00	-59.74
150.00	-57.02
160.00	-60.10
170.00	-53.41
180.00	-59.70
190.00	-58.95
200.00	-52.16
212.00	-60.59
224.00	-53.71
236.00	-57.55
250.00	-63.07
265.00	-54.36
280.00	-63.66
300.00	-62.46
315.00	-49.51
335.00	-50.14
355.00	-52.88
375.00	-49.22
400.00	-52.56
425.00	-43.46
450.00	-38.54
475.00	-33.73
500.00	-31.20
530.00	-30.64
560.00	-30.68
600.00	-30.46
630.00	-30.35
670.00	-30.20
710.00	-30.79
750.00	-31.40
800.00	-30.35
850.00	-29.17
900.00	-28.04
950.00	-26.91
1000.00	-26.18
1060.00	-26.46
1120.00	-25.71
1180.00	-24.71
1250.00	-24.06
1320.00	-24.14
1400.00	-24.42
1500.00	-25.13
1600.00	-25.06
1700.00	-25.18
1800.00	-25.68
1900.00	-25.19
2000.00	-24.57
2120.00	-23.68
2240.00	-28.51
2360.00	-24.70
2500.00	-19.98
2650.00	-18.95
2800.00	-18.02
3000.00	-15.29
3150.00	-13.79
3350.00	-11.80
3550.00	-9.80
3750.00	-11.49
4000.00	-17.27
4250.00	-21.87
4500.00	-25.38
4750.00	-21.73
5000.00	-20.40
5300.00	-22.56
5600.00	-23.25
6000.00	-15.84
6300.00	-22.24
6700.00	-32.64
7100.00	-43.03
7500.00	-83.82
8000.00	-93.85
8500.00	-80.97
9000.00	-85.35
9500.00	-91.23
10000.00	-84.71
