100.00	-60.10
106.00	-60.62
112.00	-59.96
118.00	-55.95
125.00	-60.71
132.00	-63.61
140.00	-59.73
150.00	-62.15
160.00	-62.77
170.00	-69.01
180.00	-58.18
190.00	-53.08
200.00	-64.41
212.00	-58.57
224.00	-61.30
236.00	-80.45
250.00	-66.30
265.00	-74.65
280.00	-56.50
300.00	-55.97
315.00	-59.67
335.00	-61.41
355.00	-56.16
375.00	-49.65
400.00	-50.54
425.00	-46.23
450.00	-38.10
475.00	-33.40
500.00	-32.61
530.00	-31.87
560.00	-32.34
600.00	-32.73
630.00	-32.76
670.00	-32.48
710.00	-31.62
750.00	-31.13
800.00	-29.84
850.00	-28.38
900.00	-26.95
950.00	-25.66
1000.00	-24.62
1060.00	-23.85
1120.00	-23.74
1180.00	-24.55
1250.00	-25.26
1320.00	-25.84
1400.00	-26.48
1500.00	-26.59
1600.00	-26.93
1700.00	-27.21
1800.00	-26.88
1900.00	-26.55
2000.00	-26.46
2120.00	-25.59
2240.00	-25.46
2360.00	-21.43
2500.00	-18.81
2650.00	-17.99
2800.00	-17.35
3000.00	-16.12
3150.00	-14.99
3350.00	-12.81
3550.00	-10.35
3750.00	-10.83
4000.00	-16.51
4250.00	-21.01
4500.00	-25.16
4750.00	-26.98
5000.00	-23.43
5300.00	-23.60
5600.00	-22.42
6000.00	-14.64
6300.00	-19.04
6700.00	-27.75
7100.00	-48.72
7500.00	-84.01
8000.00	-100.16
8500.00	-93.26
9000.00	-96.19
9500.00	-93.56
10000.00	-90.57
